id	name	version	title	discoveryURL	documentationURL	description
abusiveexperiencereport:v1	abusiveexperiencereport	v1	Abusive Experience Report API	https://abusiveexperiencereport.googleapis.com/$discovery/rest?version=v1	https://developers.google.com/abusive-experience-report/	Views Abusive Experience Report data, and gets a list of sites that have a significant number of abusive experiences.
acceleratedmobilepageurl:v1	acceleratedmobilepageurl	v1	Accelerated Mobile Pages (AMP) URL API	https://acceleratedmobilepageurl.googleapis.com/$discovery/rest?version=v1	https://developers.google.com/amp/cache/	Retrieves the list of AMP URLs (and equivalent AMP Cache URLs) for a given list of public URL(s).
accessapproval:v1	accessapproval	v1	Access Approval API	https://accessapproval.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/assured-workloads/access-approval/docs	An API for controlling access to data by Google personnel.
accesscontextmanager:v1	accesscontextmanager	v1	Access Context Manager API	https://accesscontextmanager.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/access-context-manager/docs/reference/rest/	An API for setting attribute based access control to requests to Google Cloud services. *Warning:* Do not mix *v1alpha* and *v1* API usage in the same access policy. The v1alpha API supports new Access Context Manager features, which may have different attributes or behaviors that are not supported by v1. The practice of mixed API usage within a policy may result in the inability to update that policy, including any access levels or service perimeters belonging to it. It is not recommended to use both v1 and v1alpha for modifying policies with critical service perimeters. Modifications using v1alpha should be limited to policies with non-production/non-critical service perimeters.
addressvalidation:v1	addressvalidation	v1	Address Validation API	https://addressvalidation.googleapis.com/$discovery/rest?version=v1	https://developers.google.com/maps/documentation/addressvalidation	The Address Validation API allows developers to verify the accuracy of addresses. Given an address, it returns information about the correctness of the components of the parsed address, a geocode, and a verdict on the deliverability of the parsed address.
adexchangebuyer2:v2beta1	adexchangebuyer2	v2beta1	Ad Exchange Buyer API II	https://adexchangebuyer.googleapis.com/$discovery/rest?version=v2beta1	https://developers.google.com/authorized-buyers/apis/reference/rest/	Accesses the latest features for managing Authorized Buyers accounts, Real-Time Bidding configurations and auction metrics, and Marketplace programmatic deals.
adexperiencereport:v1	adexperiencereport	v1	Ad Experience Report API	https://adexperiencereport.googleapis.com/$discovery/rest?version=v1	https://developers.google.com/ad-experience-report/	Views Ad Experience Report data, and gets a list of sites that have a significant number of annoying ads.
admin:datatransfer_v1	admin	datatransfer_v1	Admin SDK API	https://admin.googleapis.com/$discovery/rest?version=datatransfer_v1	https://developers.google.com/admin-sdk/	Admin SDK lets administrators of enterprise domains to view and manage resources like user, groups etc. It also provides audit and usage reports of domain.
admin:directory_v1	admin	directory_v1	Admin SDK API	https://admin.googleapis.com/$discovery/rest?version=directory_v1	https://developers.google.com/admin-sdk/	Admin SDK lets administrators of enterprise domains to view and manage resources like user, groups etc. It also provides audit and usage reports of domain.
admin:reports_v1	admin	reports_v1	Admin SDK API	https://admin.googleapis.com/$discovery/rest?version=reports_v1	https://developers.google.com/admin-sdk/	Admin SDK lets administrators of enterprise domains to view and manage resources like user, groups etc. It also provides audit and usage reports of domain.
admob:v1beta	admob	v1beta	AdMob API	https://admob.googleapis.com/$discovery/rest?version=v1beta	https://developers.google.com/admob/api/	The AdMob API allows publishers to programmatically get information about their AdMob account.
admob:v1	admob	v1	AdMob API	https://admob.googleapis.com/$discovery/rest?version=v1	https://developers.google.com/admob/api/	The AdMob API allows publishers to programmatically get information about their AdMob account.
adsense:v2	adsense	v2	AdSense Management API	https://adsense.googleapis.com/$discovery/rest?version=v2	https://developers.google.com/adsense/management/	The AdSense Management API allows publishers to access their inventory and run earnings and performance reports.
adsenseplatform:v1alpha	adsenseplatform	v1alpha	AdSense Platform API	https://adsenseplatform.googleapis.com/$discovery/rest?version=v1alpha	https://developers.google.com/adsense/platforms/	
adsenseplatform:v1	adsenseplatform	v1	AdSense Platform API	https://adsenseplatform.googleapis.com/$discovery/rest?version=v1	https://developers.google.com/adsense/platforms/	
advisorynotifications:v1	advisorynotifications	v1	Advisory Notifications API	https://advisorynotifications.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/advisory-notifications	An API for accessing Advisory Notifications in Google Cloud
aiplatform:v1beta1	aiplatform	v1beta1	Vertex AI API	https://aiplatform.googleapis.com/$discovery/rest?version=v1beta1	https://cloud.google.com/vertex-ai/	Train high-quality custom machine learning models with minimal machine learning expertise and effort.
aiplatform:v1	aiplatform	v1	Vertex AI API	https://aiplatform.googleapis.com/$discovery/rest?version=v1	https://cloud.google.com/vertex-ai/	Train high-quality custom machine learning models with minimal machine learning expertise and effort.
airquality:v1	airquality	v1	Air Quality API	https://airquality.googleapis.com/$discovery/rest?version=v1	https://developers.google.com/maps/documentation/air-quality	The Air Quality API.
alertcenter:v1beta1	alertcenter	v1beta1	Google Workspace Alert Center API	https://alertcenter.googleapis.com/$discovery/rest?version=v1beta1	https://developers.google.com/admin-sdk/alertcenter/	Manages alerts on issues affecting your domain. Note: The current version of this API (v1beta1) is available to all Google Workspace customers.
